ID,MENTAL_HEALTH_COVERAGE,TECH_COMPANY,MENTAL_HEALTH_OPTIONS_UNDER_COVERAGE,EMPLOYER_OFFER_MENTAL_HEALTH_RESOURCES,MEDICAL_COVERAGE_INCLUDING_MENTAL_HEALTH_TREATMENT,PREV_EMPLOYERS_PROVIDE_MENTAL_HEALTH_BENEFITS,AWARENESS_OF_MENTAL_HEALTH_COVERAGE_BY_PREV_EMPLOYERS,PREV_EMPLOYER_OFFER_MENTAL_HEALTH_RESOURCES,MENTAL_HEALTH_IDENTITY_HURT_YOUR_CAREER,CURRENT_MENTAL_HEALTH_DISORDER
956,I don't know,0,I am not sure,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
957,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
958,Yes,0,No,I don't know,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",No
959,Yes,1,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,Maybe,No
960,Yes,0,I am not sure,Yes,,"Yes, they all did",I was aware of some,None did,Maybe,No
961,I don't know,0,No,I don't know,,I don't know,"No, I only became aware later",None did,Maybe,Yes
962,,,,,1,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, I think it would",Yes
963,Yes,0,I am not sure,No,,"Yes, they all did",I was aware of some,None did,"No, I don't think it would",No
964,Yes,0,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
965,Yes,0,No,No,,,,,Maybe,Maybe
966,No,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",Maybe
967,Yes,0,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
968,Yes,0,I am not sure,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
969,No,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
970,Yes,1,Yes,Yes,,I don't know,I was aware of some,None did,"Yes, it has",Maybe
971,Yes,1,I am not sure,I don't know,,Some did,"No, I only became aware later",Some did,Maybe,Yes
972,Yes,1,Yes,Yes,,,,,"No, I don't think it would",No
973,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them",None did,"No, I don't think it would",Yes
974,No,0,,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
975,Yes,1,No,No,,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
976,No,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
977,I don't know,0,I am not sure,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
978,Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",Yes
979,Yes,0,Yes,Yes,,,,,"No, I don't think it would",No
980,I don't know,1,I am not sure,No,,Some did,I was aware of some,None did,"Yes, I think it would",Maybe
981,I don't know,1,I am not sure,No,,Some did,I was aware of some,None did,Maybe,No
982,I don't know,1,I am not sure,I don't know,,"No, none did","No, I only became aware later",None did,Maybe,Yes
983,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
984,I don't know,0,No,I don't know,,I don't know,"No, I only became aware later",None did,"No, I don't think it would",No
985,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","No, I don't think it would",Maybe
986,,,,,0,"No, none did",I was aware of some,None did,Maybe,Maybe
987,No,1,,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
988,No,1,No,No,,,,,"Yes, I think it would",No
989,,,,,1,,,,Maybe,Yes
990,I don't know,1,No,I don't know,,Some did,I was aware of some,None did,"Yes, I think it would",Yes
991,Yes,1,I am not sure,Yes,,Some did,I was aware of some,None did,Maybe,Maybe
992,Yes,0,Yes,I don't know,,"No, none did",I was aware of some,None did,Maybe,No
993,Yes,1,No,No,,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, I think it would",No
994,No,0,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",Maybe
995,Yes,1,No,I don't know,,"Yes, they all did",I was aware of some,Some did,Maybe,No
996,I don't know,1,No,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
997,Yes,1,I am not sure,I don't know,,"Yes, they all did",I was aware of some,Some did,Maybe,Yes
998,Yes,0,No,No,,Some did,"No, I only became aware later",Some did,Maybe,Maybe
999,No,1,No,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
1000,,,,,1,I don't know,N/A (not currently aware),None did,"No, it has not",Yes
1001,No,1,,No,,I don't know,N/A (not currently aware),None did,Maybe,No
1002,Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
1003,Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
1004,Yes,1,Yes,I don't know,,"Yes, they all did","Yes, I was aware of all of them",Some did,Maybe,Yes
1005,,,,,0,"No, none did",N/A (not currently aware),None did,Maybe,Yes
1006,Yes,1,Yes,I don't know,,Some did,I was aware of some,Some did,Maybe,Maybe
1007,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
1008,I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,None did,"No, it has not",Maybe
1009,No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
1010,,,,,1,I don't know,"No, I only became aware later",None did,"Yes, I think it would",Maybe
1011,I don't know,1,I am not sure,Yes,,"Yes, they all did",I was aware of some,"Yes, they all did",Maybe,Maybe
1012,Yes,1,Yes,Yes,,"No, none did",I was aware of some,None did,Maybe,No
1013,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",Yes
1014,Yes,1,I am not sure,Yes,,,,,"Yes, I think it would",No
1015,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
1016,Yes,0,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them",None did,Maybe,Yes
1017,Yes,0,Yes,Yes,,I don't know,N/A (not currently aware),None did,Maybe,No
1018,I don't know,1,No,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
1019,,,,,1,"Yes, they all did",I was aware of some,Some did,Maybe,Yes
1020,Not eligible for coverage ,1,No,I don't know,,Some did,I was aware of some,Some did,"Yes, it has",Maybe
1021,Yes,0,Yes,Yes,,I don't know,N/A (not currently aware),None did,Maybe,No
1022,Yes,1,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,"No, I don't think it would",No
1023,Yes,1,Yes,I don't know,,I don't know,N/A (not currently aware),Some did,Maybe,No
1024,I don't know,1,I am not sure,Yes,,Some did,I was aware of some,Some did,Maybe,No
1025,No,1,No,No,,"No, none did","Yes, I was aware of all of them",None did,Maybe,Maybe
1026,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them",Some did,"No, it has not",Maybe
1027,,,,,0,"No, none did","Yes, I was aware of all of them",None did,Maybe,Yes
1028,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,No
1029,I don't know,0,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
1030,Yes,0,No,Yes,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
1031,No,0,,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1032,Yes,0,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",No
1033,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,No
1034,No,1,,I don't know,,Some did,N/A (not currently aware),None did,"Yes, I think it would",Yes
1035,Yes,0,I am not sure,Yes,,Some did,I was aware of some,Some did,Maybe,Maybe
1036,Not eligible for coverage ,1,,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
1037,Yes,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
1038,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,No
1039,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
1040,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
1041,,,,,1,"No, none did",N/A (not currently aware),Some did,"Yes, I think it would",No
1042,No,1,No,No,,,,,"Yes, I think it would",Yes
1043,No,1,,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Maybe
1044,Yes,0,Yes,Yes,,,,,Maybe,No
1045,No,1,,No,,Some did,I was aware of some,None did,Maybe,No
1046,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
1047,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
1048,No,1,,No,,,,,"Yes, I think it would",Yes
1049,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1050,I don't know,0,I am not sure,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
1051,No,1,No,No,,I don't know,N/A (not currently aware),None did,Maybe,No
1052,Yes,1,I am not sure,No,,Some did,"No, I only became aware later",None did,"No, I don't think it would",No
1053,Yes,1,I am not sure,Yes,,Some did,I was aware of some,None did,Maybe,No
1054,,,,,1,Some did,I was aware of some,None did,Maybe,Yes
1055,Not eligible for coverage ,1,,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
1056,Yes,1,I am not sure,Yes,,Some did,"No, I only became aware later",None did,"Yes, I think it would",Yes
1057,Not eligible for coverage ,1,,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1058,,,,,0,,,,"Yes, I think it would",Yes
1059,Yes,0,No,Yes,,,,,"Yes, I think it would",Yes
1060,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,Maybe
1061,No,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
1062,Not eligible for coverage ,1,,No,,Some did,"Yes, I was aware of all of them",Some did,"Yes, it has",Yes
1063,I don't know,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
1064,Yes,1,No,No,,,,,"Yes, I think it would",No
1065,No,1,No,No,,"No, none did",I was aware of some,None did,"Yes, I think it would",Yes
1066,,,,,1,Some did,"Yes, I was aware of all of them",None did,Maybe,Yes
1067,Yes,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, it has",Maybe
1068,Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),None did,Maybe,Yes
1069,No,1,,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
1070,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,"Yes, I think it would",No
1071,I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,Maybe,Yes
1072,Yes,1,No,Yes,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",Maybe
1073,Not eligible for coverage ,0,I am not sure,Yes,,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, I think it would",No
1074,,,,,1,I don't know,N/A (not currently aware),None did,"No, I don't think it would",Maybe
1075,Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
1076,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
1077,Not eligible for coverage,1,,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
1078,,,,,0,,,,"Yes, I think it would",Maybe
1079,No,1,,No,,"No, none did",I was aware of some,None did,"Yes, I think it would",Maybe
1080,Yes,1,No,I don't know,,"Yes, they all did",I was aware of some,Some did,"Yes, it has",Yes
1081,No,0,,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1082,Yes,1,Yes,I don't know,,"Yes, they all did",I was aware of some,None did,"Yes, I think it would",Yes
1083,No,1,,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
1084,,,,,0,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
1085,I don't know,0,No,I don't know,,I don't know,I was aware of some,"Yes, they all did","No, I don't think it would",No
1086,,,,,1,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
1087,Not eligible for coverage ,1,,I don't know,,Some did,I was aware of some,Some did,"No, I don't think it would",Yes
1088,,,,,1,Some did,"Yes, I was aware of all of them",None did,Maybe,Yes
1089,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, it has",Maybe
1090,Yes,1,Yes,Yes,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",Maybe
1091,Yes,1,I am not sure,No,,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
1092,Yes,0,I am not sure,Yes,,Some did,"Yes, I was aware of all of them",Some did,"Yes, I think it would",Yes
1093,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
1094,Not eligible for coverage ,1,,No,,"No, none did",N/A (not currently aware),Some did,"Yes, I think it would",No
1095,Yes,0,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Yes
1096,Not eligible for coverage ,1,No,No,,Some did,"No, I only became aware later",None did,Maybe,No
1097,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
1098,,,,,0,Some did,"Yes, I was aware of all of them",Some did,Maybe,No
1099,I don't know,1,I am not sure,No,,Some did,"No, I only became aware later",None did,"Yes, I think it would",Maybe
1100,Yes,0,I am not sure,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",Yes
1101,I don't know,0,I am not sure,Yes,,I don't know,N/A (not currently aware),Some did,"No, I don't think it would",No
1102,,,,,0,"Yes, they all did",I was aware of some,None did,Maybe,Yes
1103,Yes,1,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
1104,,,,,1,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
1105,No,1,,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
1106,Yes,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,Maybe,Yes
1107,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1108,,,,,1,Some did,I was aware of some,Some did,Maybe,No
1109,No,1,,No,,I don't know,"No, I only became aware later",None did,Maybe,No
1110,No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
1111,No,0,No,No,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
1112,No,1,,Yes,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
1113,I don't know,1,No,I don't know,,"No, none did","Yes, I was aware of all of them",None did,Maybe,No
1114,I don't know,1,Yes,No,,I don't know,N/A (not currently aware),None did,Maybe,Yes
1115,No,1,,No,,,,,"No, I don't think it would",No
1116,Not eligible for coverage,1,,No,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Maybe
1117,No,0,No,No,,"No, none did","No, I only became aware later",None did,Maybe,No
1118,I don't know,0,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
1119,No,1,Yes,No,,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
1120,I don't know,0,I am not sure,No,,,,,"Yes, I think it would",Maybe
1121,Yes,0,Yes,Yes,,Some did,I was aware of some,"Yes, they all did",Maybe,No
1122,Yes,1,Yes,I don't know,,Some did,"Yes, I was aware of all of them",None did,"Yes, it has",Yes
1123,Yes,1,Yes,No,,,,,Maybe,Maybe
1124,,,,,1,"Yes, they all did",I was aware of some,None did,"Yes, I think it would",Maybe
1125,Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",Some did,Maybe,Yes
1126,Yes,1,No,No,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",No
1127,Yes,0,Yes,I don't know,,Some did,I was aware of some,Some did,"Yes, it has",Yes
1128,No,1,I am not sure,No,,Some did,I was aware of some,Some did,Maybe,Yes
1129,I don't know,0,No,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",Maybe
1130,Yes,1,No,No,,"Yes, they all did",I was aware of some,None did,"Yes, I think it would",No
1131,Yes,1,Yes,No,,I don't know,I was aware of some,None did,Maybe,Maybe
1132,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
1133,Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, I think it would",Yes
1134,Yes,0,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,Maybe,Yes
1135,Yes,0,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",Yes
1136,Yes,0,Yes,Yes,,Some did,I was aware of some,None did,"Yes, I think it would",Maybe
1137,Not eligible for coverage,0,,I don't know,,"Yes, they all did",I was aware of some,Some did,"Yes, it has",Yes
1138,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1139,I don't know,1,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
1140,,,,,1,Some did,I was aware of some,None did,"Yes, it has",Yes
1141,Not eligible for coverage,1,I am not sure,No,,Some did,I was aware of some,None did,Maybe,Maybe
1142,Yes,1,Yes,No,,"Yes, they all did",N/A (not currently aware),None did,"No, it has not",Yes
1143,I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,None did,Maybe,No
1144,Yes,1,I am not sure,I don't know,,Some did,I was aware of some,None did,Maybe,Yes
1145,Yes,1,No,No,,Some did,I was aware of some,None did,"Yes, I think it would",Maybe
1146,I don't know,1,I am not sure,Yes,,"Yes, they all did",I was aware of some,Some did,Maybe,No
1147,I don't know,1,No,I don't know,,Some did,"Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",No
1148,I don't know,1,No,No,,,,,Maybe,No
1149,Yes,1,No,Yes,,"Yes, they all did","Yes, I was aware of all of them",Some did,"No, I don't think it would",No
1150,I don't know,1,No,No,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
1151,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
1152,I don't know,1,No,No,,I don't know,N/A (not currently aware),Some did,Maybe,No
1153,Yes,1,I am not sure,No,,Some did,I was aware of some,Some did,"No, I don't think it would",Yes
1154,I don't know,1,I am not sure,No,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",No
1155,Yes,1,No,I don't know,,Some did,I was aware of some,Some did,Maybe,No
1156,Yes,1,I am not sure,No,,Some did,I was aware of some,None did,"Yes, I think it would",Yes
1157,I don't know,0,No,Yes,,I don't know,I was aware of some,Some did,"Yes, I think it would",No
1158,Yes,1,No,Yes,,Some did,I was aware of some,None did,Maybe,Maybe
1159,I don't know,1,I am not sure,I don't know,,I don't know,I was aware of some,Some did,Maybe,Maybe
1160,No,0,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
1161,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
1162,Yes,0,Yes,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
1163,No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1164,No,1,,No,,Some did,I was aware of some,Some did,"Yes, it has",Yes
1165,Yes,1,Yes,Yes,,Some did,I was aware of some,None did,"Yes, I think it would",Maybe
1166,Yes,0,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,"No, I don't think it would",Yes
1167,Not eligible for coverage,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
1168,I don't know,0,No,No,,Some did,"No, I only became aware later",Some did,"Yes, I think it would",No
1169,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, I think it would",Yes
1170,I don't know,1,No,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
1171,I don't know,1,No,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
1172,,,,,1,,,,"No, I don't think it would",Yes
1173,,,,,0,Some did,"Yes, I was aware of all of them",None did,"Yes, I think it would",No
1174,Not eligible for coverage,0,,No,,,,,"No, I don't think it would",Yes
1175,Yes,0,Yes,No,,"Yes, they all did",I was aware of some,None did,Maybe,Yes
1176,I don't know,1,No,No,,I don't know,"No, I only became aware later",None did,"No, I don't think it would",Maybe
1177,Yes,1,I am not sure,Yes,,,,,"Yes, I think it would",Maybe
1178,Yes,1,Yes,No,,"No, none did","Yes, I was aware of all of them",None did,Maybe,Yes
1179,Not eligible for coverage,1,,I don't know,,,,,"Yes, I think it would",No
1180,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1181,No,1,No,No,,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
1182,Yes,1,Yes,Yes,,,,,"Yes, I think it would",Yes
1183,No,0,,No,,,,,"No, I don't think it would",No
1184,I don't know,1,I am not sure,No,,,,,"Yes, I think it would",Maybe
1185,Yes,1,No,I don't know,,Some did,I was aware of some,None did,"No, it has not",Yes
1186,Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, I think it would",Yes
1187,Yes,0,No,Yes,,,,,Maybe,Yes
1188,No,0,No,No,,"No, none did","No, I only became aware later",None did,Maybe,No
1189,,,,,1,,,,Maybe,Yes
1190,No,1,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
1191,I don't know,0,I am not sure,No,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",Maybe
1192,No,1,,No,,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",No
1193,Yes,1,Yes,No,,"No, none did","No, I only became aware later",Some did,"Yes, I think it would",Yes
1194,Yes,0,No,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
1195,,,,,1,,,,"Yes, I think it would",Yes
1196,I don't know,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1197,I don't know,0,Yes,Yes,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
1198,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",Yes
1199,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
1200,I don't know,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
1201,No,1,No,No,,Some did,I was aware of some,Some did,"No, I don't think it would",No
1202,Yes,1,No,I don't know,,Some did,N/A (not currently aware),None did,Maybe,Yes
1203,I don't know,0,No,Yes,,"No, none did",N/A (not currently aware),None did,Maybe,No
1204,Yes,1,Yes,I don't know,,"Yes, they all did",I was aware of some,Some did,Maybe,Yes
1205,Yes,1,No,I don't know,,Some did,I was aware of some,None did,"No, I don't think it would",No
1206,I don't know,0,I am not sure,No,,"No, none did","No, I only became aware later",None did,"Yes, I think it would",Maybe
1207,I don't know,0,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
1208,Yes,1,Yes,I don't know,,Some did,I was aware of some,Some did,"Yes, it has",Yes
1209,I don't know,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
1210,,,,,0,Some did,N/A (not currently aware),Some did,Maybe,No
1211,I don't know,1,No,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
1212,Yes,1,I am not sure,Yes,,"No, none did","Yes, I was aware of all of them",None did,"Yes, it has",No
1213,I don't know,1,No,I don't know,,Some did,"No, I only became aware later",Some did,Maybe,Yes
1214,,,,,1,Some did,I was aware of some,None did,"Yes, I think it would",Maybe
1215,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1216,I don't know,0,No,Yes,,I don't know,"No, I only became aware later",None did,"Yes, I think it would",No
1217,,,,,0,I don't know,N/A (not currently aware),None did,Maybe,No
1218,Yes,1,Yes,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
1219,,,,,0,I don't know,"No, I only became aware later",None did,"Yes, it has",Yes
1220,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
1221,Yes,1,Yes,No,,"Yes, they all did",I was aware of some,None did,"No, I don't think it would",Yes
1222,No,1,,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
1223,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",Yes
1224,Yes,0,Yes,Yes,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",Yes
1225,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,"No, it has not",Yes
1226,Yes,1,Yes,I don't know,,Some did,I was aware of some,None did,"Yes, it has",Yes
1227,Yes,1,No,No,,Some did,I was aware of some,None did,Maybe,Yes
1228,No,1,,No,,Some did,N/A (not currently aware),None did,"Yes, it has",Yes
1229,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1230,Not eligible for coverage,1,No,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
1231,Yes,0,Yes,No,,I don't know,"No, I only became aware later",None did,"No, I don't think it would",Yes
1232,Yes,1,Yes,No,,Some did,"No, I only became aware later",None did,Maybe,No
1233,Yes,1,Yes,No,,Some did,"No, I only became aware later",None did,"Yes, it has",Yes
1234,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
1235,Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",Some did,Maybe,Yes
1236,Yes,1,Yes,No,,Some did,I was aware of some,Some did,Maybe,Yes
1237,Yes,1,I am not sure,No,,,,,Maybe,Yes
1238,I don't know,1,I am not sure,I don't know,,,,,"Yes, I think it would",No
1239,,,,,1,Some did,I was aware of some,None did,Maybe,Yes
1240,Not eligible for coverage,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
1241,Yes,1,No,I don't know,,Some did,I was aware of some,None did,Maybe,No
1242,No,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
1243,No,1,No,No,,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, I think it would",Maybe
1244,I don't know,1,No,No,,Some did,N/A (not currently aware),None did,"Yes, I think it would",No
1245,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
1246,I don't know,1,No,No,,"No, none did","No, I only became aware later",None did,"Yes, I think it would",Yes
1247,,,,,1,Some did,I was aware of some,None did,"Yes, it has",Yes
1248,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
1249,Yes,1,Yes,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
1250,Yes,1,Yes,No,,Some did,I was aware of some,None did,"No, I don't think it would",Yes
1251,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Yes
1252,,,,,1,Some did,I was aware of some,Some did,Maybe,No
1253,Yes,0,No,I don't know,,I don't know,"No, I only became aware later",None did,Maybe,Maybe
1254,,,,,1,,,,"Yes, I think it would",No
1255,No,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Maybe
1256,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,Yes
1257,Yes,1,Yes,Yes,,Some did,"No, I only became aware later",Some did,"Yes, I think it would",Yes
1258,No,0,I am not sure,No,,"No, none did","Yes, I was aware of all of them",None did,Maybe,Yes
1259,No,1,,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
1260,I don't know,0,I am not sure,No,,,,,"Yes, I think it would",Maybe
1261,,,,,1,,,,"Yes, I think it would",Yes
1262,,,,,0,"Yes, they all did",I was aware of some,None did,"Yes, I think it would",Maybe
1263,No,1,No,No,,I don't know,N/A (not currently aware),None did,Maybe,No
1264,I don't know,0,I am not sure,No,,Some did,I was aware of some,None did,Maybe,No
1265,,,,,0,Some did,"No, I only became aware later",None did,Maybe,Yes
1266,Yes,0,Yes,Yes,,I don't know,N/A (not currently aware),None did,Maybe,Yes
